,TOTAL PLAYERS,TEAM
0,8,"





Chennai Super Kings


₹1,50,00,000
8
25
"
1,25,"['\n\n\n\n\nChennai Super Kings\n\n', '₹1,50,00,000', '8', '25']"
2,8,"





Delhi Capitals


₹4,45,00,000
8
25
"
3,25,"['\n\n\n\n\nDelhi Capitals\n\n', '₹4,45,00,000', '8', '25']"
4,8,"





Gujarat Titans


₹4,45,00,000
8
25
"
5,25,"['\n\n\n\n\nGujarat Titans\n\n', '₹4,45,00,000', '8', '25']"
6,8,"





Kolkata Knight Riders


₹1,65,00,000
8
22
"
7,22,"['\n\n\n\n\nKolkata Knight Riders\n\n', '₹1,65,00,000', '8', '22']"
8,8,"





Lucknow Super Giants


₹3,55,00,000
8
25
"
9,25,"['\n\n\n\n\nLucknow Super Giants\n\n', '₹3,55,00,000', '8', '25']"
10,8,"





Mumbai Indians


₹5,00,000
8
24
"
11,24,"['\n\n\n\n\nMumbai Indians\n\n', '₹5,00,000', '8', '24']"
12,7,"





Punjab Kings


₹12,20,00,000
7
22
"
13,22,"['\n\n\n\n\nPunjab Kings\n\n', '₹12,20,00,000', '7', '22']"
14,8,"





Rajasthan Royals


₹3,35,00,000
8
25
"
15,25,"['\n\n\n\n\nRajasthan Royals\n\n', '₹3,35,00,000', '8', '25']"
16,8,"





Royal Challengers Bangalore


₹1,75,00,000
8
25
"
17,25,"['\n\n\n\n\nRoyal Challengers Bangalore\n\n', '₹1,75,00,000', '8', '25']"
18,8,"





Sunrisers Hyderabad


₹6,55,00,000
8
25
"
19,25,"['\n\n\n\n\nSunrisers Hyderabad\n\n', '₹6,55,00,000', '8', '25']"
